schoolid	year	term	time	covid	after_covid	single_gender_sch	area_code	grade	male	female	pupil_teacher_ratio	dropout_rate	asp_enrollment	asp_participant	budget_revenue	settlement_revenue	budget_expense	settlement_expense	ppexp	korean_mean	korean_sd	math_mean	math_sd	english_mean	english_sd	schooltype	private	enrollment	zipcode	latitude	longitude	term_num	house_price	library	pop	library_per	divorce	priv_academy	fiscal_auto	fiscal_indep
S010000568	2019	spring	1	0	0	1	1	2	454	0	18	1	296	255	9415000000	12429221870	9415000000	12362056034	9372294	82	18	68	22	63	23	1	1	403	6183	37.50510788	127.0614166	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000532	2019	spring	1	0	0	1	1	2	229	0	13	4	119	105	7181962000	10141540907	7181962000	10108302932	11486708	76	19	76	12	74	18	0	1	266	6350	37.48571777	127.0814362	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000400	2019	spring	1	0	0	0	1	2	67	127	12	5	43	33	1891561000	3303772707	1891561000	3173247426	5044909	62	27	48	24	63	23	0	0	179	6003	37.53097153	127.0326462	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000531	2019	spring	1	0	0	1	1	2	398	0	17	2	175	175	7777349000	11104821714	7777349000	10632220814	9134210	76	21	57	17	72	24	1	1	362	6338	37.49371338	127.0809097	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000514	2019	spring	1	0	0	2	1	2	0	249	13	3	84	72	6228699000	7575241792	6228699000	7420963875	9842127	80	15	68	20	77	20	0	1	224	6264	37.48794174	127.0359268	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000479	2019	spring	1	0	0	2	1	2	0	389	15	3	185	161	10704035000	11829809182	10704035000	11722433286	9461205	79	17	72	20	71	19	0	1	352	6277	37.49147415	127.0526123	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000559	2019	spring	1	0	0	0	1	2	161	233	16	3	176	155	7581622000	11160685976	7581622000	10589447409	9248426	70	19	66	16	68	27	1	1	349	6000	37.52539825	127.0227356	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000405	2019	spring	1	0	0	1	1	2	346	0	15	4	0	0	8909507000	9904312815	8909507000	9859300822	8938623	80	16	69	20	71	20	0	1	357	6278	37.49583435	127.0566788	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000376	2019	spring	1	0	0	2	1	2	0	339	14	1	190	177	2931756000	4860745759	2931756000	4759502580	4171343	77	17	67	22	63	22	0	0	339	6324	37.48688889	127.065567	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000375	2019	spring	1	0	0	1	1	2	386	0	14	3	76	76	1311209000	5572170702	1311209000	5447775511	4487459	63	24	51	26	57	29	0	0	321	6086	37.51756668	127.0560761	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000459	2019	spring	1	0	0	0	1	2	62	109	12	1	443	268	6066726000	8194704471	6066726000	8099638550	13589998	74	22	41	19	62	24	0	1	185	6348	37.49031448	127.1023636	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000548	2019	spring	1	0	0	0	1	2	89	162	12	3	48	48	9096766000	10396289219	9096766000	10083505330	12296958	57	22	62	23	61	24	0	1	259	6373	37.47132874	127.0999451	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000495	2019	spring	1	0	0	1	1	2	256	0	12	3	313	250	8055906000	9172438454	8055906000	9067128012	10268548	76	15	70	14	76	19	0	1	315	6065	37.52018356	127.0433502	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000373	2019	spring	1	0	0	0	1	2	85	109	11	4	64	59	966004000	3153356249	966004000	2882482660	4482866	64	23	51	20	48	29	0	0	204	6324	37.48495865	127.0594025	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000542	2019	spring	1	0	0	0	1	2	71	100	9	6	59	57	1868226000	2605440849	1868226000	2456022850	4073007	66	23	49	25	55	29	0	0	164	6009	37.52799988	127.0437012	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000534	2019	spring	1	0	0	0	1	2	133	186	15	2	100	92	8911709000	11234254520	8911709000	10593201048	10509128	72	19	58	20	71	18	0	1	302	6277	37.49190903	127.0521088	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000538	2019	spring	1	0	0	2	1	2	0	299	16	3	118	118	8379820000	10930128693	8379820000	10708776730	10938485	73	14	65	15	66	24	0	1	308	6213	37.50182724	127.0469055	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000400	2019	fall	2	0	0	0	1	2	67	127	12	5	43	33	1891561000	3303772707	1891561000	3173247426	5044909	58	29	45	27	59	27	0	0	179	6003	37.53097153	127.0326462	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000559	2019	fall	2	0	0	0	1	2	161	233	16	3	176	155	7581622000	11160685976	7581622000	10589447409	9248426	65	22	61	17	64	28	1	1	349	6000	37.52539825	127.0227356	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000548	2019	fall	2	0	0	0	1	2	89	162	12	3	48	48	9096766000	10396289219	9096766000	10083505330	12296958	57	22	51	25	61	24	0	1	259	6373	37.47132874	127.0999451	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000568	2019	fall	2	0	0	1	1	2	454	0	18	1	296	255	9415000000	12429221870	9415000000	12362056034	9372294	67	25	73	24	57	24	1	1	403	6183	37.50510788	127.0614166	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000542	2019	fall	2	0	0	0	1	2	71	100	9	6	59	57	1868226000	2605440849	1868226000	2456022850	4073007	56	24	49	26	52	29	0	0	164	6009	37.52799988	127.0437012	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000531	2019	fall	2	0	0	1	1	2	398	0	17	2	175	175	7777349000	11104821714	7777349000	10632220814	9134210	76	21	57	19	67	26	1	1	362	6338	37.49371338	127.0809097	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000375	2019	fall	2	0	0	1	1	2	386	0	14	3	76	76	1311209000	5572170702	1311209000	5447775511	4487459	58	27	52	24	44	29	0	0	321	6086	37.51756668	127.0560761	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000538	2019	fall	2	0	0	2	1	2	0	299	16	3	118	118	8379820000	10930128693	8379820000	10708776730	10938485	71	17	64	14	63	25	0	1	308	6213	37.50182724	127.0469055	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000534	2019	fall	2	0	0	0	1	2	133	186	15	2	100	92	8911709000	11234254520	8911709000	10593201048	10509128	66	18	58	22	67	18	0	1	302	6277	37.49190903	127.0521088	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000532	2019	fall	2	0	0	1	1	2	229	0	13	4	119	105	7181962000	10141540907	7181962000	10108302932	11486708	70	23	75	12	70	18	0	1	266	6350	37.48571777	127.0814362	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000376	2019	fall	2	0	0	2	1	2	0	339	14	1	190	177	2931756000	4860745759	2931756000	4759502580	4171343	68	19	64	27	57	23	0	0	339	6324	37.48688889	127.065567	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000373	2019	fall	2	0	0	0	1	2	85	109	11	4	64	59	966004000	3153356249	966004000	2882482660	4482866	57	20	54	17	39	27	0	0	204	6324	37.48495865	127.0594025	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000459	2019	fall	2	0	0	0	1	2	62	109	12	1	443	268	6066726000	8194704471	6066726000	8099638550	13589998	67	22	36	20	48	26	0	1	185	6348	37.49031448	127.1023636	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000405	2019	fall	2	0	0	1	1	2	346	0	15	4	0	0	8909507000	9904312815	8909507000	9859300822	8938623	66	22	60	27	54	25	0	1	357	6278	37.49583435	127.0566788	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000514	2019	fall	2	0	0	2	1	2	0	249	13	3	84	72	6228699000	7575241792	6228699000	7420963875	9842127	76	19	66	21	73	22	0	1	224	6264	37.48794174	127.0359268	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000479	2019	fall	2	0	0	2	1	2	0	389	15	3	185	161	10704035000	11829809182	10704035000	11722433286	9461205	68	22	72	22	71	23	0	1	352	6277	37.49147415	127.0526123	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000495	2019	fall	2	0	0	1	1	2	256	0	12	3	313	250	8055906000	9172438454	8055906000	9067128012	10268548	68	21	63	16	67	21	0	1	315	6065	37.52018356	127.0433502	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000548	2020	spring	3	1	1	0	1	2	110	180	12	2	81	81	9009487000	19293035626	9009487000	9237850325	11678698	66	20	51	20	78	15	0	1	259	6373	37.47132874	127.0999451	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000459	2020	spring	3	1	1	0	1	2	85	115	12	1	161	161	5056900000	6414336929	5056900000	6337913909	11177979	60	24	49	22	50	23	0	1	185	6348	37.49031448	127.1023636	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000532	2020	spring	3	1	1	1	1	2	327	0	13	2	0	0	7386423000	8828181187	7386423000	8777011915	9996597	72	21	77	12	76	16	0	1	266	6350	37.48571777	127.0814362	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000514	2020	spring	3	1	1	2	1	2	0	235	13	3	0	0	5619223000	6770347248	5619223000	6672153442	8980018	77	16	66	24	79	19	0	1	224	6264	37.48794174	127.0359268	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000559	2020	spring	3	1	1	0	1	2	144	202	14	2	0	0	9099847000	9307316050	9099847000	8865812098	8285806	80	17	67	21	65	25	1	1	349	6000	37.52539825	127.0227356	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000568	2020	spring	3	1	1	1	1	2	400	0	18	2	117	84	9776694000	9543716561	9776694000	9452643134	7531987	83	18	72	19	75	18	1	1	403	6183	37.50510788	127.0614166	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000376	2020	spring	3	1	1	2	1	2	0	365	13	3	23	23	2989188000	4346767745	2989188000	4302627265	3947365	69	16	62	18	61	24	0	0	339	6324	37.48688889	127.065567	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000405	2020	spring	3	1	1	1	1	2	382	0	14	3	0	0	8190814000	9495182443	8190814000	9348478189	8452512	78	15	70	18	75	18	0	1	357	6278	37.49583435	127.0566788	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000375	2020	spring	3	1	1	1	1	2	373	0	15	2	0	0	1455415000	5466596067	1455415000	5279678534	4567196	62	23	52	23	52	27	0	0	321	6086	37.51756668	127.0560761	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000542	2020	spring	3	1	1	0	1	2	68	98	9	4	0	0	1066721000	2436076505	1066721000	2336164874	4399557	58	29	53	26	49	28	0	0	164	6009	37.52799988	127.0437012	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000531	2020	spring	3	1	1	1	1	2	360	0	16	3	0	0	7925918000	10109510086	7925918000	9312553679	8314780	67	24	69	19	70	23	1	1	362	6338	37.49371338	127.0809097	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000534	2020	spring	3	1	1	0	1	2	137	190	14	3	0	0	8934094000	10236373861	8934094000	9989529751	10131369	66	23	50	22	61	25	0	1	302	6277	37.49190903	127.0521088	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000538	2020	spring	3	1	1	2	1	2	0	306	15	4	0	0	7968725000	8941661377	7968725000	7887186216	8563720	72	15	60	21	69	22	0	1	308	6213	37.50182724	127.0469055	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000400	2020	spring	3	1	1	0	1	2	78	117	10	2	5	5	2031663000	3564972710	2031663000	3268059252	5567393	72	25	52	26	57	28	0	0	179	6003	37.53097153	127.0326462	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000373	2020	spring	3	1	1	0	1	2	94	101	11	2	0	0	975093000	3055247990	975093000	2956180730	4752702	59	23	45	19	41	26	0	0	204	6324	37.48495865	127.0594025	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000495	2020	spring	3	1	1	1	1	2	291	0	12	6	0	0	8204944000	7517897491	8204944000	7330974772	8445824	69	19	63	20	64	24	0	1	315	6065	37.52018356	127.0433502	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000479	2020	spring	3	1	1	2	1	2	0	385	15	1	0	0	10695298000	11785238025	10695298000	11660335235	10069374	80	18	71	20	78	16	0	1	352	6277	37.49147415	127.0526123	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000459	2020	fall	4	1	2	0	1	2	85	115	12	1	161	161	5056900000	6414336929	5056900000	6337913909	11177979	60	24	50	20	50	23	0	1	185	6348	37.49031448	127.1023636	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000479	2020	fall	4	1	2	2	1	2	0	385	15	1	0	0	10695298000	11785238025	10695298000	11660335235	10069374	74	20	68	20	72	16	0	1	352	6277	37.49147415	127.0526123	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000531	2020	fall	4	1	2	1	1	2	360	0	16	3	0	0	7925918000	10109510086	7925918000	9312553679	8314780	67	24	60	21	58	28	1	1	362	6338	37.49371338	127.0809097	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000375	2020	fall	4	1	2	1	1	2	373	0	15	2	0	0	1455415000	5466596067	1455415000	5279678534	4567196	47	23	64	23	55	27	0	0	321	6086	37.51756668	127.0560761	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000559	2020	fall	4	1	2	0	1	2	144	202	14	2	0	0	9099847000	9307316050	9099847000	8865812098	8285806	72	21	63	21	56	28	1	1	349	6000	37.52539825	127.0227356	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000400	2020	fall	4	1	2	0	1	2	78	117	10	2	5	5	2031663000	3564972710	2031663000	3268059252	5567393	61	30	44	26	47	28	0	0	179	6003	37.53097153	127.0326462	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000495	2020	fall	4	1	2	1	1	2	291	0	12	6	0	0	8204944000	7517897491	8204944000	7330974772	8445824	71	16	74	17	67	23	0	1	315	6065	37.52018356	127.0433502	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000534	2020	fall	4	1	2	0	1	2	137	190	14	3	0	0	8934094000	10236373861	8934094000	9989529751	10131369	59	24	42	24	59	26	0	1	302	6277	37.49190903	127.0521088	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000538	2020	fall	4	1	2	2	1	2	0	306	15	4	0	0	7968725000	8941661377	7968725000	7887186216	8563720	70	14	45	19	53	29	0	1	308	6213	37.50182724	127.0469055	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000514	2020	fall	4	1	2	2	1	2	0	235	13	3	0	0	5619223000	6770347248	5619223000	6672153442	8980018	72	19	63	21	74	23	0	1	224	6264	37.48794174	127.0359268	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000548	2020	fall	4	1	2	0	1	2	110	180	12	2	81	81	9009487000	19293035626	9009487000	9237850325	11678698	50	22	46	24	73	17	0	1	259	6373	37.47132874	127.0999451	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000405	2020	fall	4	1	2	1	1	2	382	0	14	3	0	0	8190814000	9495182443	8190814000	9348478189	8452512	84	15	80	18	78	18	0	1	357	6278	37.49583435	127.0566788	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000532	2020	fall	4	1	2	1	1	2	327	0	13	2	0	0	7386423000	8828181187	7386423000	8777011915	9996597	67	24	77	13	70	16	0	1	266	6350	37.48571777	127.0814362	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000376	2020	fall	4	1	2	2	1	2	0	365	13	3	23	23	2989188000	4346767745	2989188000	4302627265	3947365	80	16	79	17	80	23	0	0	339	6324	37.48688889	127.065567	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000542	2020	fall	4	1	2	0	1	2	68	98	9	4	0	0	1066721000	2436076505	1066721000	2336164874	4399557	52	27	36	30	51	26	0	0	164	6009	37.52799988	127.0437012	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000373	2020	fall	4	1	2	0	1	2	94	101	11	2	0	0	975093000	3055247990	975093000	2956180730	4752702	60	24	58	18	50	26	0	0	204	6324	37.48495865	127.0594025	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000568	2020	fall	4	1	2	1	1	2	400	0	18	2	117	84	9776694000	9543716561	9776694000	9452643134	7531987	76	18	63	23	57	26	1	1	403	6183	37.50510788	127.0614166	2	2143.21	16	539235	2.97	1.3	4.4	53.6	52.3
S010000495	2021	spring	5	1	3	1	1	2	315	0	12	3	34	34	7447326000	8420846107	7447326000	7991798759	9228405	70	15	61	20	68	19	0	1	315	6065	37.52018356	127.0433502	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000532	2021	spring	5	1	3	1	1	2	317	0	14	3	0	0	7583503000	10357903551	7583503000	10317570769	11202574	68	21	78	11	73	15	0	1	317	6350	37.48571777	127.0814362	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000376	2021	spring	5	1	3	2	1	2	0	355	13	2	38	38	1551182000	4300444753	1551182000	4211429894	3846055	77	17	67	19	64	20	0	0	355	6324	37.48688889	127.065567	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000568	2021	spring	5	1	3	1	1	2	397	0	17	2	69	80	10018908000	11301241611	10018908000	11188495178	9300495	75	19	67	22	67	20	1	1	397	6183	37.50510788	127.0614166	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000459	2021	spring	5	1	3	0	1	2	67	118	11	1	111	131	5033371000	7002278688	5033371000	6851062749	12277890	64	27	56	16	52	24	0	1	185	6348	37.49031448	127.1023636	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000559	2021	spring	5	1	3	0	1	2	123	219	14	0	67	71	7952393000	10164027215	7952393000	9173126660	8803384	64	21	59	15	58	27	1	1	342	6000	37.52539825	127.0227356	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000531	2021	spring	5	1	3	1	1	2	362	0	15	0	0	0	7816460000	11872951869	7816460000	10892628485	10011607	74	13	68	16	63	23	1	1	362	6338	37.49371338	127.0809097	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000548	2021	spring	5	1	3	0	1	2	103	159	12	1	12	12	7780614000	19343825851	7780614000	9328342170	11588003	62	17	52	20	85	15	0	1	262	6373	37.47132874	127.0999451	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000479	2021	spring	5	1	3	2	1	2	0	384	14	2	6	6	8742740000	11782219155	8742740000	11177680557	9848177	79	19	66	20	76	16	0	1	384	6277	37.49147415	127.0526123	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000542	2021	spring	5	1	3	0	1	2	69	95	9	4	0	0	714100000	2272711522	714100000	2149353971	4239357	57	27	48	25	58	30	0	0	164	6009	37.52799988	127.0437012	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000534	2021	spring	5	1	3	0	1	2	138	193	14	1	0	0	9104597000	11591895877	9104597000	10061448109	10469769	63	24	53	21	55	25	0	1	331	6277	37.49190903	127.0521088	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000405	2021	spring	5	1	3	1	1	2	379	0	15	1	0	0	6603573000	9116324674	6603573000	8991694896	8086057	80	14	80	12	72	17	0	1	379	6278	37.49583435	127.0566788	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000375	2021	spring	5	1	3	1	1	2	373	0	13	2	0	0	1308595000	5846452979	1308595000	5214639387	4736276	60	28	68	18	45	25	0	0	373	6086	37.51756668	127.0560761	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000400	2021	spring	5	1	3	0	1	2	72	128	9	3	0	0	670299000	3153341591	670299000	2920201019	5069794	59	24	54	23	47	24	0	0	200	6003	37.53097153	127.0326462	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000538	2021	spring	5	1	3	2	1	2	0	308	14	2	11	11	8251550000	9819156865	8251550000	8986322960	9973721	72	19	59	18	60	25	0	1	308	6213	37.50182724	127.0469055	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000514	2021	spring	5	1	3	2	1	2	0	266	13	1	0	0	5293659000	6979163348	5293659000	6848628621	9459432	76	17	64	21	74	22	0	1	266	6264	37.48794174	127.0359268	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000373	2021	spring	5	1	3	0	1	2	98	106	12	2	0	0	805598000	2903914437	805598000	2811858414	4379842	22	6	41	19	46	27	0	0	204	6324	37.48495865	127.0594025	1	2286.8	16	534796	2.99	1.4	4.5	56	54.9
S010000531	2021	fall	6	1	4	1	1	2	362	0	15	0	0	0	7816460000	11872951869	7816460000	10892628485	10011607	71	22	66	17	61	26	1	1	362	6338	37.49371459	127.0809111	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000373	2021	fall	6	1	4	0	1	2	98	106	12	2	0	0	805598000	2903914437	805598000	2811858414	4379842	58	25	43	19	43	27	0	0	204	6324	37.48495876	127.0594054	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000495	2021	fall	6	1	4	1	1	2	315	0	12	3	34	34	7447326000	8420846107	7447326000	7991798759	9228405	59	16	57	20	61	22	0	1	315	6065	37.520183	127.043348	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000538	2021	fall	6	1	4	2	1	2	0	308	14	2	11	11	8251550000	9819156865	8251550000	8986322960	9973721	65	22	54	20	59	27	0	1	308	6213	37.501828	127.046904	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000568	2021	fall	6	1	4	1	1	2	397	0	17	2	69	80	10018908000	11301241611	10018908000	11188495178	9300495	70	20	70	23	70	20	1	1	397	6183	37.505109	127.06142	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000405	2021	fall	6	1	4	1	1	2	379	0	15	1	0	0	6603573000	9116324674	6603573000	8991694896	8086057	72	15	69	19	72	21	0	1	379	6278	37.495834	127.056676	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000514	2021	fall	6	1	4	2	1	2	0	266	13	1	0	0	5293659000	6979163348	5293659000	6848628621	9459432	78	16	62	22	66	26	0	1	266	6264	37.4879414	127.0359252	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000548	2021	fall	6	1	4	0	1	2	103	159	12	1	12	12	7780614000	19343825851	7780614000	9328342170	11588003	50	17	56	20	63	20	0	1	262	6373	37.471327	127.0999477	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000534	2021	fall	6	1	4	0	1	2	138	193	14	1	0	0	9104597000	11591895877	9104597000	10061448109	10469769	66	22	54	23	53	26	0	1	331	6277	37.49190717	127.0521106	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000479	2021	fall	6	1	4	2	1	2	0	384	14	2	6	6	8742740000	11782219155	8742740000	11177680557	9848177	72	20	66	19	70	18	0	1	384	6277	37.49147446	127.0526124	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000542	2021	fall	6	1	4	0	1	2	69	95	9	4	0	0	714100000	2272711522	714100000	2149353971	4239357	49	27	47	27	45	29	0	0	164	6009	37.52800121	127.0437006	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000532	2021	fall	6	1	4	1	1	2	317	0	14	3	0	0	7583503000	10357903551	7583503000	10317570769	11202574	66	23	76	12	68	16	0	1	317	6350	37.48571689	127.0814362	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000376	2021	fall	6	1	4	2	1	2	0	355	13	2	38	38	1551182000	4300444753	1551182000	4211429894	3846055	67	19	64	19	56	25	0	0	355	6324	37.48688726	127.0655669	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000400	2021	fall	6	1	4	0	1	2	72	128	9	3	0	0	670299000	3153341591	670299000	2920201019	5069794	58	22	53	25	47	25	0	0	200	6003	37.530973	127.032648	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000375	2021	fall	6	1	4	1	1	2	373	0	13	2	0	0	1308595000	5846452979	1308595000	5214639387	4736276	62	23	52	23	52	27	0	0	373	6086	37.51756598	127.0560739	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000559	2021	fall	6	1	4	0	1	2	123	219	14	0	67	71	7952393000	10164027215	7952393000	9173126660	8803384	65	20	64	16	53	29	1	1	342	6000	37.525398	127.022736	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000459	2021	fall	6	1	4	0	1	2	67	118	11	1	111	131	5033371000	7002278688	5033371000	6851062749	12277890	56	25	45	22	41	24	0	1	185	6348	37.490313	127.102365	2	2423.07	16	533359	3	1.4	4.5	56	54.9
S010000534	2022	spring	7	1	5	0	1	2	125	177	14	2	0	0	8333016000	12298403217	8333016000	12233357192	12703382	67	22	40	26	67	21	0	1	302	6277	37.49190717	127.0521106	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000559	2022	spring	7	1	5	0	1	2	134	215	15	2	0	0	8021142000	11631206205	8021142000	10743301523	10310270	80	20	66	16	73	18	1	1	349	6000	37.525398	127.022736	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000479	2022	spring	7	1	5	2	1	2	0	352	14	2	2	2	8954418000	12912580058	8954418000	12853819518	11435782	81	14	75	14	68	19	0	1	352	6277	37.49147446	127.0526124	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000373	2022	spring	7	1	5	0	1	2	94	123	12	5	0	0	868763000	2898723370	868763000	2854111595	4466529	64	25	46	22	45	25	0	0	217	6324	37.48495876	127.0594054	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000376	2022	spring	7	1	5	2	1	2	0	342	12	0	12	12	1670798000	4026751702	1670798000	3816563600	3583628	80	16	61	19	63	22	0	0	342	6324	37.48688726	127.0655669	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000400	2022	spring	7	1	5	0	1	2	63	115	9	1	0	0	774576000	3072101951	774576000	2990040752	5264157	64	23	58	22	47	27	0	0	178	6003	37.530973	127.032648	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000405	2022	spring	7	1	5	1	1	2	345	0	15	2	0	0	6825127000	9312610747	6825127000	9172096739	8445761	69	20	70	17	67	22	0	1	345	6278	37.495834	127.056676	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000514	2022	spring	7	1	5	2	1	2	0	213	13	3	14	15	5372047000	8098702476	5372047000	8065231272	11327572	75	18	55	21	71	19	0	1	213	6264	37.4879414	127.0359252	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000459	2022	spring	7	1	5	0	1	2	72	95	12	2	82	97	5229012000	7630123251	5229012000	7591041646	14057484	63	22	50	20	51	25	0	1	167	6348	37.490313	127.102365	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
S010000542	2022	spring	7	1	5	0	1	2	68	95	9	6	0	0	807676000	2562653974	807676000	2485198550	4751814	55	28	48	24	47	26	0	0	163	6009	37.52800121	127.0437006	1	2539.26	16	532577	3	1.3	4.7	60.9	58.9
